Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount
43840,0,309138,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO FEDERATION OF LABOR WORKERS ASSISTANCE COMMITTEE,99076537M,130 E RANDOLPH STREET EFT,CHICAGO,IL,60601,"$172,800.00 "
43845,0,309138,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO WOMEN IN TRADES,95253090L,2444 W 16TH ST,CHICAGO,IL,60608,"$172,800.00 "
30366,6,118524,CONSTRUCTION-LARGE $3MILLIONorABOVE,3/8/17,DEPARTMENT OF WATER MANAGEMENT,M.G. ELECTRIC SERVICES CO INC,33669145H,1450 E ALGONQUIN RD,ARLINGTON HEIGHTS,IL,60005,"$173,349.00 "
35023,0,160404,COMPTROLLER-OTHER,2/2/16,DEPARTMENT OF CULTURAL AFFAIRS,PEABODY ESSEX MUSEUM,57235449,EAST INDIA SQUARE,SALEM,ME,1970,"$175,000.00 "
39072,0,181683,DELEGATE AGENCY,5/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,CENTERS FOR NEW HORIZONS 01,15427701H,4150 S KING DRIVE EFT,CHICAGO,IL,60653,"$175,000.00 "
20511,25,70081,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$175,310.30 "
31375,3,129405,DELEGATE AGENCY,1/4/17,DEPT OF FAMILY AND SUPPORT SERVICES,FAMILY RESCUE,99762812Z,9204 S COMMERCIAL AVENUE EFT,CHICAGO,IL,60617,"$176,210.00 "
49410,0,129558,DELEGATE AGENCY,1/12/17,DEPT OF FAMILY AND SUPPORT SERVICES,CORPORATION FOR SUPPORTIVE HOUSING,31289254Z,HOUSING,NEW YORK,NY,10173,"$176,301.00 "
48693,0,135497,DELEGATE AGENCY,11/3/16,DEPT OF FAMILY AND SUPPORT SERVICES,CATHOLIC CHARITIES OF CHICAGO,85240411Z,721 N LASALLE STREET EFT,CHICAGO,IL,60610,"$177,068.00 "
48694,0,135497,DELEGATE AGENCY,11/3/16,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO YOUTH CENTERS,65101977V,104 S MICHIGAN AVENUE EFT,CHICAGO,IL,60603,"$177,068.00 "
48695,0,135497,DELEGATE AGENCY,11/3/16,DEPT OF FAMILY AND SUPPORT SERVICES,HENRY BOOTH HOUSE 01,93427996Z,2328 S DEARBORN ST,CHICAGO,IL,60616,"$177,068.00 "
32498,1,120164,WORK SERVICES / FACILITIES MAINT.,9/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CHRISTY WEBBER LANDSCAPES,93234032M,2900 W FERDINAND ST,CHICAGO,IL,60612,"$178,960.00 "
44227,1,300532,DELEGATE AGENCY,3/8/17,DEPT OF FAMILY AND SUPPORT SERVICES,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,CHICAGO,IL,60644,"$179,500.00 "
36278,0,173339,DELEGATE AGENCY,3/4/16,,ILLINOIS MATERNAL & CHILD HEALTH COALITION,23331155P,1256 W CHICAGO AVENUE EFT,CHICAGO,IL,60647,"$180,000.00 "
43962,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,CHICAGO,IL,60644,"$180,000.00 "
50294,0,91152,DELEGATE AGENCY,3/1/17,DEPT OF COMMUNITY DEVELOPMENT,NORTHSIDE COMMUNITY DEVELOPMENT CORPORATION,94547541L,1530 W MORSE AVENUE EFT,CHICAGO,IL,60626,"$180,000.00 "
34956,0,114133,COMMODITIES,3/2/16,DEPARTMENT OF WATER MANAGEMENT,MCCLENDON HOLDINGS LLC,88596622E,PO BOX 490050,CHICAGO,IL,60649,"$184,500.00 "
28033,3,116493,DELEGATE AGENCY,8/8/16,DEPT OF FAMILY AND SUPPORT SERVICES,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,CHICAGO,IL,60644,"$185,157.00 "
43955,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,NATIONAL LATINO EDUCATION INSTITUTE,28317271L,FOR JOBS INC.,CHICAGO,IL,60609,"$186,000.00 "
34929,11,132199,CONSTRUCTION-AVIATION,2/10/17,DEPT OF AVIATION,ALDRIDGE ELECTRIC INC,25940976T,844 E ROCKLAND ROAD EFT,LIBERTYVILLE,IL,60048,"$188,000.00 "
34506,0,152811,DELEGATE AGENCY,1/12/16,DEPARTMENT OF HEALTH,HOWARD BROWN HEALTH CENTER,15183609E,4025 N SHERIDAN ROAD EFT,CHICAGO,IL,60613,"$189,108.00 "
32511,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,CATHOLIC BISHOP OF CHIC 01,93428388E,ST. PIUS V PARISH/HOPE,CHICAGO,IL,60608,"$192,308.00 "
32286,1,131731,DELEGATE AGENCY,5/4/16,DEPT OF FAMILY AND SUPPORT SERVICES,ELEVARTE COMMUNITY STUDIO,94315856A,1119 W CULLERTON ST,CHICAGO,IL,60608,"$192,931.00 "
50235,0,91155,DELEGATE AGENCY,3/9/17,DEPT OF COMMUNITY DEVELOPMENT,CALUMET AREA INDUSTRIAL COMMIS,31304958E,VELOPMENT COMMISSION,CHICAGO,IL,60628,"$193,760.00 "
18916,14,65104,WORK SERVICES / FACILITIES MAINT.,1/7/16,DEPARTMENT OF REVENUE,"GARDA CL GREAT LAKES, INC.",73961058T,3280 E FOOTHILL BLVD STE 290,PASADENA,CA,91107,"$194,600.00 "
43960,0,309124,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,NORTH LAWNDALE EMPLOYMENT NETWORK,99253742M,3726 W FLOURNOY STREET EFT,CHICAGO,IL,60624,"$197,680.70 "
34428,0,151947,DELEGATE AGENCY,1/11/16,DEPARTMENT OF HEALTH,BONAVENTURE HOUSE INC.,31314560A,825 W WELLINGTON EFT,CHICAGO,IL,60657,"$199,056.00 "
51700,0,129369,DELEGATE AGENCY,1/12/17,DEPT OF FAMILY AND SUPPORT SERVICES,"NORTH SIDE HOUSING AND SUPPORTIVE SERVICES, INC.",93651840H,3340 N CLARK ST,CHICAGO,IL,60657,"$199,203.00 "
33823,0,135100,DELEGATE AGENCY,2/2/16,DEPT OF FAMILY AND SUPPORT SERVICES,DEPAUL UNIVERSITY,93965499T,ATTN: DIRECTOR OF RESTRICTED ACCOUNTING,CHICAGO,IL,60604,"$199,848.00 "
33824,0,135100,DELEGATE AGENCY,2/2/16,DEPT OF FAMILY AND SUPPORT SERVICES,COLUMBIA COLLEGE CHICAGO,90570101H,600 S MICHIGAN AVE FL 5TH,CHICAGO,IL,60605,"$200,000.00 "
31471,3,127397,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,BREAKTHROUGH URBAN MINISTRIES,91912973P,PO BOX 47200,CHICAGO,IL,60647,"$200,000.00 "
31176,1,129369,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,"BREAKTHROUGH URBAN MINISTRIES, INC.",94722896V,402 N ST LOUIS AVENUE EFT,CHICAGO,IL,60624,"$200,000.00 "
43864,0,309124,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,EMPLOYMENT & EMPLOYER SERVICES INC,85903481X,208 S LASALLE STREET EFT,CHICAGO,IL,60604,"$200,000.00 "
33522,3,137550,DELEGATE AGENCY,3/10/17,DEPARTMENT OF HEALTH,THE THRESHOLDS,93347425L,4101 N RAVENSWOOD AVENUE EFT,CHICAGO,IL,60613,"$200,000.00 "
42041,0,236271,DELEGATE AGENCY,12/10/16,DEPARTMENT OF HEALTH,UNIVERSITY OF CHICAGO MEDICAL CENTER,93146661A,DEPT OF MEDICINE RM W 600,CHICAGO,IL,60637,"$200,000.00 "
43680,0,300555,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,100038336P,801 N DEARBORN ST,CHICAGO,IL,60610,"$205,000.00 "
31579,1,127335,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,A LITTLE BIT OF HEAVEN,16013326X,11321 S WENTWORTH AVE,CHICAGO,IL,60626,"$205,462.00 "
26602,2,105182,"PRO SERV CONSULTING $250,000orABOVE",6/8/16,OFFICE OF THE MAYOR,WILLIAM FILAN LIMITED W FILAN,31322458L,321 N CLARK STREET EFT,CHICAGO,IL,60610,"$210,000.00 "
29642,42,109327,CONSTRUCTION-LARGE $3MILLIONorABOVE,8/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,ACURA INC,44068782X,556 COUNTY LINE RD,BENSENVILLE,IL,60106,"$210,000.00 "
44157,0,309133,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,WESTSIDE HEALTH AUTHORITY,22686520T,ATTN: BUSINESS OFFICE/J. REED,CHICAGO,IL,60651,"$210,000.00 "
32655,4,129735,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/5/16,DEPARTMENT OF WATER MANAGEMENT,BENCHMARK CONSTRUCTION CO. INC,22360848V,3349 S KEDZIE AVENUE EFT,CHICAGO,IL,60623,"$212,820.00 "
43772,0,309138,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,A SAFE HAVEN FOUNDATION,93145610H,2750 W ROOSEVELT ROAD EFT,CHICAGO,IL,60608,"$214,500.00 "
43956,0,309124,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,NEW MOMS INC,93121950M,2845 W MCLEAN AVENUE EFT,CHICAGO,IL,60647,"$217,261.80 "
34408,0,151700,DELEGATE AGENCY,1/11/16,DEPARTMENT OF HEALTH,METROPOLITAN TENANTS ORGANIZATION,31312299L,1180 N MILWAUKEE AVENUE EFT,CHICAGO,IL,60622,"$225,000.00 "
32639,30,131388,CONSTRUCTION-AVIATION,6/8/16,DEPT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,HOFFMAN ESTATES,IL,60120,"$226,111.50 "
43881,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,JEWISH VOCATIONAL SERVICE AND EMPLOYMENT CENTER,23233637X,2020 W DEVON AVE,CHICAGO,IL,60659,"$226,329.50 "
44132,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,SAFER FOUNDATION,28640536V,571 W JACKSON EFT,CHICAGO,IL,,"$228,000.40 "
32919,1,130336,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV,42441106P,935 W CHESTNUT ST STE 20,CHICAGO,IL,60622-5445,"$228,500.00 "
44153,0,258008,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,NATIONAL ABLE NETWORK INC.,95143642E,567 W LAKE ST,CHICAGO,IL,60661,"$230,000.00 "
23954,107,24508A,CONSTRUCTION-GENERAL,3/8/16,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$232,000.00 "
43863,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,"EMPLOYMENT & EMPLOYER SERVICES, INC.",15199755X,200 W ADAMS ST STE 1500,CHICAGO,IL,60606,"$233,500.00 "
33359,2,135083,DELEGATE AGENCY,1/6/17,DEPT OF FAMILY AND SUPPORT SERVICES,NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION,6777515L,1400 W AUGUSTA BLVD # 1,CHICAGO,IL,60622-3939,"$233,733.00 "
33825,0,135100,DELEGATE AGENCY,2/2/16,DEPT OF FAMILY AND SUPPORT SERVICES,KENDALL COLLEGE LLC,99253718L,2408 ORRINGTON,EVANSTON,IL,60201,"$235,516.00 "
44051,0,300535,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,100038336P,801 N DEARBORN ST,CHICAGO,IL,60610,"$237,598.00 "
19314,6,69172,"PRO SERV CONSULTING $250,000orABOVE",11/10/16,DEPT OF GENERAL SERVICES,MB REAL ESTATE SERVICES LLC,93239750E,181 W MADISON ST STE 4700  EFT,CHICAGO,IL,60602,"$238,296.00 "
44149,0,309124,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,COMMUNITY ASSISTANCE PROGRAMS,92811221H,11715 S HALSTED STREET EFT,CHICAGO,IL,60628,"$240,000.00 "
44140,0,309138,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,CARA PROGRAM,90416218H,950 E 61 TH STREET EFT ST,CHICAGO,IL,60637,"$240,000.00 "
28488,1,118501,DELEGATE AGENCY,6/6/16,DEPT OF FAMILY AND SUPPORT SERVICES,CHRISTOPHER HOUSE,99076565L,1611 W DIVISION STREET EFT,CHICAGO,IL,60622,"$240,779.00 "
24259,7,90069A,COMMODITIES,9/9/16,CITY CLERK,STANDARD REGISTER CO,22547748A,PO BOX 91047,CHICAGO,IL,60693,"$245,951.50 "
33033,2,127313,COMMODITIES,1/8/16,CHICAGO DEPARTMENT OF TRANSPORTATION,PRODUCTION DISTRIBUTION COMPANIES,93360965M,9511 S DORCHESTER EFT,CHICAGO,IL,60628,"$247,781.00 "
30539,2,120120A,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/8/16,DEPT OF GENERAL SERVICES,FRIEDLER CONSTRUCTION CO,87112412A,2525 N ELSTON AVENUE EFT,CHICAGO,IL,60647,"$248,349.20 "
20466,11,73076,VEHICLES/HEAVY EQUIPMENT (CAPITAL),8/11/16,DEPT OF FLEET MGMT,STANDARD EQUIPMENT COMPANY,3653482X,2033 W WALNUT ST,CHICAGO,IL,60612,"$249,757.50 "
31580,1,127331,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,A SAFE HAVEN FOUNDATION,93145610H,2750 W ROOSEVELT ROAD EFT,CHICAGO,IL,60608,"$249,999.00 "
24084,7,84080,WORK SERV-AVIATION,10/6/16,DEPT OF AVIATION,AGAE/M-K SIGNS JOINT VENTURE,93454953H,4549 N MILWAUKEE AVENUE EFT,CHICAGO,IL,60630,"$250,000.00 "
31031,3,125384,COMMODITIES,2/6/17,DEPARTMENT OF WATER MANAGEMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",22085024V,53 W JACKSON BLVD # 1450,CHICAGO,IL,60604-3806,"$250,000.00 "
43870,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,GOLDIE'S PLACE,90404194T,5705 N LINCOLN AVE,CHICAGO,IL,60659,"$250,000.00 "
44138,0,309133,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,TEAMWORK ENGLEWOOD,46806107T,815 W 63RD ST,CHICAGO,IL,60621,"$250,000.00 "
44151,0,258008,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,GROWING HOME INC,65849457X,2732 N CLARK STREET EFT,CHICAGO,IL,60605,"$250,000.00 "
44139,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,THE CARA PROGRAM,99076525Z,237 S DESPLAINES STREET EFT,CHICAGO,IL,60661,"$254,000.00 "
33033,7,127313,COMMODITIES,4/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,PRODUCTION DISTRIBUTION COMPANIES,93360965M,9511 S DORCHESTER EFT,CHICAGO,IL,60628,"$255,150.00 "
43886,0,309124,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,MCDERMOTT CENTER,87075014A,120 N SANGAMON EFT,CHICAGO,IL,60607,"$256,781.90 "
31956,41,125921,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/3/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$260,000.00 "
43839,0,309138,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,CENTER ON HALSTED,62852273V,"3656 N HALSTED ST FL 2, 3",CHICAGO,IL,60613,"$260,000.00 "
43861,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,COMMUNITY ASSISTANCE PROGRAMS,92811221H,11715 S HALSTED STREET EFT,CHICAGO,IL,60628,"$260,000.00 "
48696,0,135497,DELEGATE AGENCY,11/3/16,DEPT OF FAMILY AND SUPPORT SERVICES,HOWARD AREA COMMUNITY CENTER,28386163V,CENTER (AGENT)ROBERT BUCHANAN,CHICAGO,IL,60626,"$265,600.00 "
44155,0,258008,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,THE CHICAGO LIGHTHOUSE FOR PEOPLE WHO ARE BLIND OR VISUALLY IMPAIRED,15345637T,1850 W ROOSEVELT RD,CHICAGO,IL,60608,"$266,000.00 "
44154,0,258008,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,CARA PROGRAM,91599942Z,"237 S DESPLAINES ST FL 1,2 AND 3",CHICAGO,IL,60661,"$266,000.00 "
36932,0,135100,DELEGATE AGENCY,5/4/16,DEPT OF FAMILY AND SUPPORT SERVICES,BOARD OF TRUSTEES - U OF I,85240295E,GRANTS & CONTRACTS MC 551,CHICAGO,IL,60612-7205,"$275,000.00 "
32353,33,123883,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/5/17,CHICAGO DEPARTMENT OF TRANSPORTATION,R.W. DUNTEMAN CO.,31376754P,PO BOX 1129,ADDISON,IL,60101,"$275,000.00 "
33042,4,130593,DELEGATE AGENCY,2/6/17,DEPT OF FAMILY AND SUPPORT SERVICES,"WESTERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.",98844715A,WESTERN KENTUCKY UNIV.,BOWLING GREEN,KY,42101-1031,"$279,000.00 "
43918,0,258802,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,Marillac St. Vincent Family Services Inc DBA St. Vincent DePaul Center,97791861L,212 S FRANCISCO AVENUE EFT,CHICAGO,IL,60612,"$280,000.00 "
44158,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,WESTSIDE HEALTH AUTHORITY,22686520T,ATTN: BUSINESS OFFICE/J. REED,CHICAGO,IL,60651,"$280,000.00 "
32927,6,119809,CONSTRUCTION-LARGE $3MILLIONorABOVE,3/2/17,DEPARTMENT OF WATER MANAGEMENT,JAY DEE CONTRACTORS INC,22927450Z,38881 SCHOOL CRAFT RD,LIVONIA,MI,48150,"$280,500.00 "
43841,0,309124,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO HORTICULTURAL SOCIETY DBA CHICAGO BOTANIC GARDEN,93824103Z,1000 LAKE COOK ROAD EFT,GLENCOE,IL,60022-0400,"$282,378.00 "
53256,0,386238,COMPTROLLER-OTHER,2/6/17,DEPT OF AVIATION,FEDERAL AVIATION ADMINISTRATION,1004390,CENTRAL REGION ACE-20 FAA,KANSAS CITY,MO,64106,"$291,220.00 "
26981,6,112233,DELEGATE AGENCY,10/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,CHINESE CONSOLIDATED BENEVOLENT ASSOCIATION DBA CHINESE CONSOLIDATED BENEVOLENT FOUNDATION,5042943L,250 W 22ND PL FL BSMT,CHICAGO,IL,60616,"$297,553.00 "
43884,0,309143,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,99076577X,ONE NORTH DEARBORN STREET,CHICAGO,IL,60602,"$300,000.00 "
49425,0,127298,DELEGATE AGENCY,1/12/17,DEPT OF FAMILY AND SUPPORT SERVICES,CENTER FOR HOUSING AND HEALTH,94136735V,200 W JACKSON BLVD,CHICAGO,IL,60606,"$300,000.00 "
43939,0,299302,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,TRAVELERS & IMMIGRANTS AID'S HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS DBA HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS,95503031H,208 S LA SALLE ST,CHICAGO,IL,60604,"$300,000.00 "
44150,0,258008,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,GREATER WEST TOWN COMMUNITY DEVELOPMENT PROJECT,31316397P,1579 N MILWAUKEE AVE FL 2ND,CHICAGO,IL,60622,"$300,000.00 "
44146,0,258008,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,WESTSIDE HEALTH AUTHORITY,22686520T,ATTN: BUSINESS OFFICE/J. REED,CHICAGO,IL,60651,"$300,000.00 "
31456,1,127398,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,A SAFE HAVEN FOUNDATION,93145610H,2750 W ROOSEVELT ROAD EFT,CHICAGO,IL,60608,"$300,000.00 "
43961,0,309138,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,CHICAGO,IL,60644,"$309,200.00 "
33752,0,141496,DELEGATE AGENCY,10/4/16,,RESEARCH & EDUCATION FOUNDATIO,86820322M,2240 W OGDEN AVE FL 2ND,CHICAGO,IL,60612-4220,"$310,095.00 "
35021,0,160373,COMPTROLLER-OTHER,2/2/16,CHICAGO DEPARTMENT OF TRANSPORTATION,NORTHWESTERN UNIVERSITY,27481184P,750 N LAKE SHORE DR RM 540,CHICAGO,IL,60611,"$311,778.00 "
32021,2,130816,COMPTROLLER-OTHER,7/11/16,DEPT OF COMMUNITY DEVELOPMENT,LOCAL INITIATIVES SUPPORT CORPORATION,95041200H,135 S LA SALLE STREET EFT,CHICAGO,IL,60603,"$314,000.00 "
33033,6,127313,COMMODITIES,1/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,PRODUCTION DISTRIBUTION COMPANIES,93360965M,9511 S DORCHESTER EFT,CHICAGO,IL,60628,"$314,237.80 "
38548,0,196252,DELEGATE AGENCY,5/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,CORPORATION FOR SUPPORTIVE HOUSING,31289254Z,HOUSING,NEW YORK,NY,10173,"$320,238.00 "
32310,1,131733,DELEGATE AGENCY,4/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,YOUTH OUTREACH SERVICES,88273079X,2411 W CONGRESS PARKWAY EFT,CHICAGO,IL,60612,"$320,513.00 "
29642,37,109327,CONSTRUCTION-LARGE $3MILLIONorABOVE,6/8/16,CHICAGO DEPARTMENT OF TRANSPORTATION,ACURA INC,93225537L,556 COUNTY LINE ROAD EFT,BENSENVILLE,IL,60106,"$325,000.00 "
32926,4,120969,CONSTRUCTION-LARGE $3MILLIONorABOVE,9/6/16,DEPARTMENT OF WATER MANAGEMENT,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$325,612.50 "
25980,73,96183,CONSTRUCTION-LARGE $3MILLIONorABOVE,9/7/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$331,181.40 "
32299,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,K.L.E.O. COMMUNITY FAMILY LIFE CENTER,93487754Z,119 E GARFIELD BOULEVARD EFT,CHICAGO,IL,60637,"$333,333.00 "
31423,2,129389,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,BEACON THERAPEUTIC & TREATMENT,86546527P,1912 W 103RD STREET EFT ST,CHICAGO,IL,60643,"$336,804.00 "
43878,0,258008,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,"INSPIRATION CORPORATION, CHICAGO",22056300X,1325 W WILSON AVE,CHICAGO,IL,60640-6201,"$342,366.00 "
28820,2,115080,COMMODITIES,2/10/17,CHICAGO PUBLIC LIBRARY,PERK PRODUCTS INC,22081409Z,N7601 ROYAL AND ANCIENT DRIVE,ELKHART LAKE,WI,60613,"$342,532.00 "
24050,6,80606,PRO SERV-AVIATION,12/9/16,DEPT OF AVIATION,"UNISON CONSULTING, INC.",9642583L,409 W HURON ST # 400,CHICAGO,IL,60654,"$350,000.00 "
32161,2,131446,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,BEACON THERAPEUTIC & TREATMENT,9957189H,1912 W 103RD ST,CHICAGO,IL,60643-2617,"$350,000.00 "
43874,0,309138,DELEGATE AGENCY,1/10/17,DEPT OF FAMILY AND SUPPORT SERVICES,GREATER WEST TOWN COMMUNITY DEVELOPMENT PROJECT,31316397P,1579 N MILWAUKEE AVE FL 2ND,CHICAGO,IL,60622,"$360,000.00 "
43711,0,257964,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,BOYS AND GIRLS CLUBS OF CHICAGO,24051664V,550 W VAN BUREN ST # 350,CHICAGO,IL,60607,"$367,140.00 "
31952,1,120361A,WORK SERVICES / FACILITIES MAINT.,11/9/16,FIRE DEPARTMENT,"A. M. C. MECHANICAL, INC.",92994706A,11535 W 183RD PLACE EFT,ORLAND PARK,IL,60467,"$372,104.60 "
34431,0,152017,DELEGATE AGENCY,1/12/16,DEPARTMENT OF HEALTH,"CORNELL INTERVENTIONS, INC",14938865M,901 W JACKSON BLVD STE 400,CHICAGO,IL,60607,"$376,248.00 "
43937,0,299300,DELEGATE AGENCY,1/11/17,DEPT OF FAMILY AND SUPPORT SERVICES,LAF,94132915P,METROPOLITAN OF CHICAGO,CHICAGO,IL,60604-3502,"$384,000.00 "
32290,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,CHICAGO,IL,60644,"$384,615.00 "
37824,0,190214,COMPTROLLER-OTHER,4/7/16,CHICAGO DEPARTMENT OF TRANSPORTATION,COOK COUNTY TREASURER,1072302,69 W. WASHINGTON ST. RM 2400,CHICAGO,IL,606023007,"$385,000.00 "
31477,4,127397,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,CATHOLIC CHARITIES OF CHICAGO,85903404T,ARCHDIOCESE OF CHICAGO,CHICAGO,IL,60610,"$398,128.00 "
33024,2,129675,DELEGATE AGENCY,12/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,ALL CHICAGO MAKING HOMELESSNESS HISTORY,97415498V,651 W WASHINGTON BLVD,CHICAGO,IL,60661,"$398,203.00 "
52022,0,119738,WORK SERVICES / FACILITIES MAINT.,1/11/17,CHICAGO PUBLIC LIBRARY,BIBLIOTHECA LLC,10194436,3169 HOLCOMB BRIDGE ROAD,NORCROSS,GA,30071,"$399,362.50 "
